Unique Key,Descriptor,Location Type,Incident Zip,Incident Address,X Coordinate (State Plane),Y Coordinate (State Plane),Latitude,Longitude,Location,geometry,year,Info_Accuracy,Vacancy_Type,Current_Status,Repeated,Comment
33652879,Condition Attracting Rodents,Vacant Building,10027,255 WEST  121 STREET,997625,233310,40.8070478,-73.951686,"(40.80704779870351, -73.95168612413684)",POINT (-73.95168612413684 40.80704779870351),2016,/,/,/,TRUE,
28696911,Rat Sighting,Vacant Building,10027,56 WEST 125 STREET,999673,233388,40.8072585,-73.944288,"(40.8072585494072, -73.94428805388517)",POINT (-73.94428805388517 40.8072585494072),2014,TRUE,VB,CONST,FALSE,
20496875,Rat Sighting,Vacant Lot,10027,119 WEST 124 STREET,998981,233458,40.8074519,-73.946788,"(40.80745186092021, -73.94678758627079)",POINT (-73.9467875862708 40.80745186092021),2011,FALSE,/,/,FALSE,
20940548,Rat Sighting,Vacant Lot,10027,123 WEST  124 STREET,998960,233469,40.8074821,-73.946863,"(40.807482087863974, -73.94686341991061)",POINT (-73.94686341991061 40.80748208786397),2011,FALSE,/,/,FALSE,
41035041,Rat Sighting,Vacant Building,10027,46 WEST 126 STREET,999849,233522,40.807626,-73.943652,"(40.80762603331742, -73.94365198424642)",POINT (-73.94365198424643 40.80762603331743),2018,FALSE,/,/,FALSE,
28300631,Condition Attracting Rodents,Vacant Building,10027,56 WEST 126TH STREET,999788,233556,40.8077195,-73.943872,"(40.80771946138962, -73.94387225480561)",POINT (-73.94387225480561 40.80771946138962),2014,TRUE,VB,VACANT,FALSE,
34386382,Rat Sighting,Vacant Lot,10027,123 WEST 124TH STREET,998935,233561,40.8077346,-73.946954,"(40.807734643978044, -73.94695352553921)",POINT (-73.94695352553921 40.80773464397804),2016,FALSE,/,/,FALSE,
40163544,Rat Sighting,Vacant Lot,10027,2262 FREDERICK DOUGLASS BOULEVARD,997350,233576,40.8077783,-73.952679,"(40.807778307125986, -73.95267897428477)",POINT (-73.95267897428477 40.80777830712599),2018,TRUE,VL,VACANT,FALSE,
28776083,Condition Attracting Rodents,Vacant Building,10027,56 WEST  126 STREET,999895,233586,40.8078016,-73.943486,"(40.80780161425249, -73.9434856700831)",POINT (-73.94348567008309 40.80780161425249),2014,/,/,/,TRUE,
29061173,Mouse Sighting,Vacant Building,10027,56 WEST 126 STREET,999895,233586,40.8078016,-73.943486,"(40.80780161425249, -73.9434856700831)",POINT (-73.94348567008309 40.80780161425249),2014,/,/,/,TRUE,
28262903,Condition Attracting Rodents,Vacant Building,10027,54 WEST 126TH STREET,999837,233610,40.8078676,-73.943695,"(40.80786759011844, -73.94369512731632)",POINT (-73.94369512731632 40.80786759011843),2014,FALSE,/,/,FALSE,
20057983,Condition Attracting Rodents,Vacant Lot,10027,66 WEST 126 STREET,999832,233621,40.8078978,-73.943713,"(40.807897790890266, -73.9437131632637)",POINT (-73.94371316326371 40.80789779089027),2011,FALSE,/,/,FALSE,
21855122,Rat Sighting,Vacant Building,10027,68 WEST 126 STREET,999819,233628,40.807917,-73.94376,"(40.807917026868644, -73.94376010689815)",POINT (-73.94376010689815 40.80791702686864),2011,FALSE,/,/,FALSE,
27861536,Rat Sighting,Vacant Building,10027,494 MANHATTAN AVENUE,996796,233637,40.8079465,-73.95468,"(40.80794653930053, -73.95468006970782)",POINT (-73.95468006970782 40.80794653930053),2014,TRUE,VB,VACANT,FALSE,
42612986,Rat Sighting,Vacant Building,10027,2070 ADAM CLAYTON POWELL BOULEVARD,998347,233643,40.8079607,-73.949077,"(40.807960669032425, -73.94907737920948)",POINT (-73.94907737920948 40.80796066903242),2019,FALSE,/,/,FALSE,
18694474,Rat Sighting,Vacant Building,10027,217 WEST 123 STREET,998070,233662,40.8080133,-73.950078,"(40.808013256403044, -73.95007794752009)",POINT (-73.9500779475201 40.80801325640304),2010,TRUE,VB,CONST,FALSE,
18607357,Condition Attracting Rodents,Vacant Lot,10027,323 WEST 121 STREET,996933,233693,40.8081,-73.954185,"(40.808100048185025, -73.95418507873863)",POINT (-73.95418507873862 40.80810004818503),2010,FALSE,/,/,FALSE,
37440511,Rat Sighting,Vacant Lot,10027,228-234 SAINT NICHOLAS AVE,997298,233707,40.8081379,-73.952867,"(40.80813794279531, -73.95286655881428)",POINT (-73.95286655881428 40.80813794279531),2017,FALSE,/,/,FALSE,
20489475,Condition Attracting Rodents,Vacant Lot,10027,2272 FREDRICK DOUGLAS BOULEVARD,997365,233717,40.8081653,-73.952625,"(40.80816529082176, -73.9526245144505)",POINT (-73.95262451445051 40.80816529082175),2011,TRUE,NEW BUILDING,NEW BUILDING,FALSE,
21772930,Rat Sighting,Vacant Building,10027,57 WEST 127 STREET,1000018,233822,40.8084492,-73.943041,"(40.80844915016986, -73.94304080379216)",POINT (-73.94304080379216 40.80844915016986),2011,FALSE,/,/,FALSE,
38461053,Rat Sighting,Vacant Building,10027,1191 AMSTERDAM AVENUE,995435,233837,40.8084973,-73.959596,"(40.80849731174161, -73.95959607760794)",POINT (-73.95959607760794 40.80849731174161),2018,FALSE,/,/,FALSE,
19084548,Condition Attracting Rodents,Vacant Lot,10027,65 WEST 127 STREET,999969,233849,40.8085233,-73.943218,"(40.808523344997006, -73.94321774461757)",POINT (-73.94321774461757 40.80852334499701),2010,FALSE,/,/,FALSE,
30197737,Rat Sighting,Vacant Lot,10027,65 WEST  127 STREET,999969,233849,40.8085233,-73.943218,"(40.808523344997006, -73.94321774461757)",POINT (-73.94321774461757 40.80852334499701),2015,/,/,/,TRUE,
38429909,Rat Sighting,Vacant Building,10027,1195 AMSTERDAM AVENUE,995384,233859,40.8085578,-73.95978,"(40.808557760064176, -73.95978026997496)",POINT (-73.95978026997496 40.80855776006418),2018,FALSE,/,/,FALSE,
40077268,Rat Sighting,Vacant Building,10027,435 WEST WEST  119 STREET,995554,233862,40.8085658,-73.959166,"(40.8085657783594, -73.95916616818162)",POINT (-73.95916616818162 40.8085657783594),2018,/,/,/,TRUE,
42101072,Rat Sighting,Vacant Building,10027,218 WEST  124 STREET,998181,233892,40.8086444,-73.949677,"(40.8086443683286, -73.9496765044727)",POINT (-73.94967650447271 40.8086443683286),2019,FALSE,/,/,FALSE,
30580485,Condition Attracting Rodents,Vacant Lot,10027,79 WEST  127 STREET,999882,233898,40.808658,-73.943532,"(40.80865799076518, -73.94353190335941)",POINT (-73.9435319033594 40.80865799076518),2015,FALSE,/,/,FALSE,
19885038,Condition Attracting Rodents,Vacant Building,10027,303 WEST 123 STREET,997455,234001,40.8089447,-73.952299,"(40.808944658034164, -73.9522988476877)",POINT (-73.9522988476877 40.80894465803416),2011,FALSE,/,/,FALSE,
25330815,Rat Sighting,Vacant Building,10027,139 WEST 126 STREET,999148,234006,40.8089557,-73.946183,"(40.80895568900706, -73.94618312044588)",POINT (-73.94618312044587 40.80895568900706),2013,TRUE,NEW BUILDING,NEW BUILDING,FALSE,
20812811,Rat Sighting,Vacant Building,10027,305 WEST  123 STREET,997442,234009,40.8089666,-73.952346,"(40.808966635235805, -73.9523457925765)",POINT (-73.95234579257651 40.80896663523581),2011,FALSE,/,/,FALSE,
25512275,Rat Sighting,Vacant Building,10027,141 WEST 126 STREET,999137,234012,40.8089722,-73.946223,"(40.808972175884094, -73.94622284304573)",POINT (-73.94622284304573 40.80897217588409),2013,TRUE,NEW BUILDING,NEW BUILDING,FALSE,
20866849,Rat Sighting,Vacant Building,10027,59 WEST 128 STREET,1000134,234055,40.8090885,-73.942621,"(40.80908846272375, -73.94262122248216)",POINT (-73.94262122248216 40.80908846272375),2011,TRUE,NEW BUILDING,NEW BUILDING,FALSE,
23386819,Rat Sighting,Vacant Building,10027,59 WEST  128 STREET,1000134,234055,40.8090885,-73.942621,"(40.80908846272375, -73.94262122248216)",POINT (-73.94262122248216 40.80908846272375),2012,/,/,/,TRUE,
31705962,Rat Sighting,Vacant Lot,10027,303 W 123RD ST,997437,234071,40.8091368,-73.952364,"(40.80913681549917, -73.95236373256057)",POINT (-73.95236373256056 40.80913681549917),2015,/,/,/,TRUE,
31987599,Rat Sighting,Vacant Lot,10027,267 W 124TH ST,997840,234183,40.8094436,-73.950908,"(40.809443613699145, -73.95090772271236)",POINT (-73.95090772271236 40.80944361369915),2015,FALSE,/,/,FALSE,
19252633,Condition Attracting Rodents,Vacant Lot,10027,130 WEST 127 STREET,999313,234207,40.8095071,-73.945587,"(40.80950709842644, -73.94558663083363)",POINT (-73.94558663083363 40.80950709842644),2010,FALSE,/,/,FALSE,
20380718,Condition Attracting Rodents,Vacant Lot,10027,132 WEST 127 STREET,999303,234213,40.8095236,-73.945623,"(40.80952358380375, -73.94562274122895)",POINT (-73.94562274122896 40.80952358380375),2011,FALSE,/,/,FALSE,
19869871,Condition Attracting Rodents,Vacant Lot,10027,302 WEST 124 STREET,997559,234237,40.8095923,-73.951923,"(40.80959225647989, -73.95192269490806)",POINT (-73.95192269490806 40.8095922564799),2011,FALSE,/,/,FALSE,
20285986,Condition Attracting Rodents,Vacant Building,10027,302 WEST  124 STREET,997559,234237,40.8095923,-73.951923,"(40.80959225647989, -73.95192269490806)",POINT (-73.95192269490806 40.8095922564799),2011,FALSE,/,/,FALSE,
21098763,Rat Sighting,Vacant Building,10027,105 WEST 128 STREET,999583,234359,40.8099238,-73.944611,"(40.80992383172524, -73.94461093969869)",POINT (-73.94461093969869 40.80992383172524),2011,FALSE,/,/,FALSE,
19992854,Rat Sighting,Vacant Building,10027,261 WEST 126 STREET,998226,234517,40.8103597,-73.949513,"(40.81035974870369, -73.94951264800083)",POINT (-73.94951264800083 40.81035974870369),2011,FALSE,/,/,FALSE,
19493986,Mouse Sighting,Vacant Building,10027,114 WEST 129 STREET,999649,234613,40.8106209,-73.944372,"(40.81062087628985, -73.94437193811302)",POINT (-73.94437193811301 40.81062087628985),2010,FALSE,/,/,FALSE,
20441704,Condition Attracting Rodents,Vacant Lot,10027,2349 FREDERICK DOUGLAS BOULEVARD,997880,234658,40.8107473,-73.950762,"(40.810747295063926, -73.95076226296143)",POINT (-73.95076226296143 40.81074729506393),2011,FALSE,/,/,FALSE,
38879433,Signs of Rodents,Vacant Lot,10027,140 W 129TH ST,999367,234684,40.8108162,-73.94539,"(40.810816238560754, -73.94539048783125)",POINT (-73.94539048783125 40.81081623856075),2018,FALSE,/,/,FALSE,
31710695,Rat Sighting,Vacant Lot,10027,2155 ADAM CLAYTON POWELL BOULEVARD,998938,234697,40.8108526,-73.94694,"(40.81085264359005, -73.94694020304513)",POINT (-73.94694020304512 40.81085264359005),2015,FALSE,/,/,FALSE,
16915018,Condition Attracting Rodents,Vacant Lot,10027,144 WEST 129 STREET,999489,234701,40.8108627,-73.94495,"(40.81086268923153, -73.94494972960118)",POINT (-73.94494972960118 40.81086268923153),2010,TRUE,VB,VACANT,FALSE,
16546803,Condition Attracting Rodents,Vacant Lot,10027,146 WEST 129 STREET,999478,234707,40.8108792,-73.944989,"(40.810879176528445, -73.94498945303366)",POINT (-73.94498945303366 40.81087917652845),2010,TRUE,VB,VACANT,FALSE,
41081924,Rat Sighting,Vacant Lot,10027,313 WEST  126 STREET,997776,234766,40.8110439,-73.951138,"(40.81104388484785, -73.95113774039024)",POINT (-73.95113774039024 40.81104388484785),2018,FALSE,/,/,FALSE,
18398889,Rat Sighting,Vacant Lot,10027,315 WEST  126 STREET,997765,234773,40.8110631,-73.951177,"(40.811063114733834, -73.95117746345026)",POINT (-73.95117746345026 40.81106311473384),2010,FALSE,/,/,FALSE,
31674333,Rat Sighting,Vacant Lot,10027,316 WEST  126 STREET,997751,234774,40.8110659,-73.951228,"(40.81106588086128, -73.95122803601315)",POINT (-73.95122803601315 40.81106588086129),2015,FALSE,/,/,FALSE,
43453352,Rat Sighting,Vacant Lot,10027,321 WEST  126 STREET,997731,234792,40.8111153,-73.9513,"(40.81111531639201, -73.9513002492575)",POINT (-73.9513002492575 40.81111531639201),2019,FALSE,/,/,FALSE,
36730024,Rat Sighting,Vacant Lot,10027,407-401 MALCOLM X BOULEVARD,999992,234794,40.8111171,-73.943132,"(40.81111706638301, -73.94313244487026)",POINT (-73.94313244487026 40.81111706638301),2017,TRUE,VL,CONST,FALSE,NYC HOUSING
21036122,Condition Attracting Rodents,Vacant Lot,10027,268 WEST 127 STREET,998258,234795,40.8111227,-73.949396,"(40.811122730673254, -73.94939647005431)",POINT (-73.94939647005431 40.81112273067325),2011,FALSE,/,/,FALSE,
43785090,Signs of Rodents,Vacant Lot,10027,327 WEST  126 STREET,997696,234811,40.8111675,-73.951427,"(40.811167519441014, -73.95142664773257)",POINT (-73.95142664773256 40.81116751944101),2019,TRUE,VB,VACANT,,CHURCH
20601223,Mouse Sighting,Vacant Building,10027,131 WEST 130 STREET,999695,234893,40.8113893,-73.944205,"(40.81138931802398, -73.94420512136094)",POINT (-73.94420512136094 40.81138931802398),2011,FALSE,,,,
18847557,Rat Sighting,Vacant Building,10027,2371 FREDRICK DOUGLAS BOULEVARD,998060,234982,40.8116363,-73.950111,"(40.81163630531848, -73.95011135493655)",POINT (-73.95011135493654 40.81163630531847),2010,TRUE,VB,VACANT,FALSE,
18869424,Rat Sighting,Vacant Building,10027,2371 8 AVENUE,998060,234982,40.8116363,-73.950111,"(40.81163630531848, -73.95011135493655)",POINT (-73.95011135493654 40.81163630531847),2010,TRUE,VL,VACANT,FALSE,
17551219,Condition Attracting Rodents,Vacant Lot,10027,312 WEST 127 STREET,997913,234984,40.811642,-73.950642,"(40.81164202332608, -73.95064238846611)",POINT (-73.95064238846611 40.81164202332608),2010,TRUE,VL,VACANT,FALSE,334 St. Nicholas Ave
36098932,Rat Sighting,Vacant Building,10027,103 WEST  131 STREET,999968,235038,40.8117868,-73.943219,"(40.81178682111867, -73.94321857284515)",POINT (-73.94321857284515 40.81178682111867),2017,FALSE,/,/,FALSE,
36047011,Rat Sighting,Vacant Building,10027,103 WEST 131ST STREET,1000005,235104,40.8119679,-73.943085,"(40.811967906807254, -73.94308475511039)",POINT (-73.94308475511039 40.81196790680725),2017,FALSE,/,/,FALSE,
34793742,Rat Sighting,Vacant Lot,10027,302 WEST  128 STREET,998103,235178,40.8121742,-73.949956,"(40.8121742033627, -73.94995561289802)",POINT (-73.94995561289801 40.8121742033627),2016,TRUE,VL,VACANT,FALSE,304 WEST 128 STREET
34724013,Rat Sighting,Vacant Lot,10027,306 WEST  128 STREET,998094,235183,40.8121879,-73.949988,"(40.812187941076324, -73.9499881153543)",POINT (-73.9499881153543 40.81218794107632),2016,TRUE,NEW BUILDING,NEW BUILDING,FALSE,
33270892,Rat Sighting,Vacant Building,10027,120 WEST 132ND STREET,999916,235267,40.8124155,-73.943406,"(40.81241545460027, -73.94340588882375)",POINT (-73.94340588882375 40.81241545460027),2016,FALSE,/,/,FALSE,
19055635,Rat Sighting,Vacant Lot,10027,173 MORNINGSIDE AVENUE,997193,235294,40.812494,-73.953243,"(40.81249397108154, -73.95324279146337)",POINT (-73.95324279146338 40.81249397108154),2010,TRUE,VB,VACANT,FALSE,
16485203,Condition Attracting Rodents,Vacant Building,10027,148 WEST 132 STREET,999849,235397,40.8127724,-73.943648,"(40.812772386863855, -73.9436476270723)",POINT (-73.94364762707229 40.81277238686385),2010,FALSE,/,/,FALSE,
24035612,Condition Attracting Rodents,Vacant Building,10027,156 WEST 132 STREET,999807,235420,40.8128356,-73.943799,"(40.81283558950091, -73.94379930137559)",POINT (-73.94379930137559 40.81283558950091),2012,FALSE,/,/,FALSE,
30599719,Rat Sighting,Vacant Lot,10027,1 CONVENT AVENUE,997301,235425,40.8128534,-73.952852,"(40.81285337064048, -73.95285238164146)",POINT (-73.95285238164145 40.81285337064048),2015,FALSE,/,/,FALSE,
28955825,Rat Sighting,Vacant Lot,10027,410 WEST  128 STREET,997490,235514,40.8130974,-73.952169,"(40.81309736956231, -73.95216943096172)",POINT (-73.95216943096172 40.81309736956231),2014,TRUE,VB,CONST,FALSE,NYC HOUSING
29090205,Rat Sighting,Vacant Lot,10027,418 WEST  128 STREET,997447,235538,40.8131633,-73.952325,"(40.81316330719954, -73.95232472471494)",POINT (-73.95232472471494 40.81316330719954),2014,FALSE,/,/,FALSE,
18994925,Rat Sighting,Vacant Lot,10027,456 WEST 126 STREET,996712,235582,40.8132851,-73.95498,"(40.813285142302, -73.9549798920162)",POINT (-73.9549798920162 40.813285142302),2010,FALSE,/,/,FALSE,
28020671,Rat Sighting,Vacant Building,10027,206 W 132ND ST,999240,235644,40.8134514,-73.945847,"(40.81345138718997, -73.945847125848)",POINT (-73.945847125848 40.81345138718997),2014,FALSE,/,/,FALSE,
36128948,Rat Sighting,Vacant Building,10027,237 WEST 131ST STREET,998938,235679,40.813548,-73.946938,"(40.81354795967709, -73.94693805418993)",POINT (-73.94693805418994 40.81354795967709),2017,FALSE,/,/,FALSE,
20240910,Condition Attracting Rodents,Vacant Lot,10027,22 CONVENT AVENUE,997228,235703,40.8136165,-73.953116,"(40.8136165105403, -73.95311556149248)",POINT (-73.95311556149248 40.81361651054029),2011,FALSE,/,/,FALSE,
28020684,Rat Sighting,Vacant Building,10027,242 WEST 132ND STREET,999014,235767,40.8137894,-73.946663,"(40.81378936838737, -73.94666330268878)",POINT (-73.94666330268878 40.81378936838737),2014,TRUE,VB,VACANT,FALSE,
27565047,Rat Sighting,Vacant Lot,10027,126 LASALLE STREET,995237,235851,40.8140254,-73.960308,"(40.81402542970419, -73.96030802250245)",POINT (-73.96030802250245 40.81402542970419),2014,FALSE,/,/,FALSE,
23798704,Signs of Rodents,Vacant Building,10027,260 WEST 132 STREET,998980,235874,40.8140831,-73.946786,"(40.81408311021432, -73.94678589685857)",POINT (-73.94678589685856 40.81408311021432),2012,FALSE,/,/,FALSE,
20970958,Condition Attracting Rodents,Vacant Lot,10027,263 WEST  132 STREET,998972,235885,40.8141133,-73.946815,"(40.81411331547212, -73.94681477379801)",POINT (-73.94681477379802 40.81411331547211),2011,FALSE,/,/,FALSE,
37651042,Rat Sighting,Vacant Building,10027,622 WEST 131ST STREET,995750,237277,40.8179387,-73.958452,"(40.81793874690458, -73.95845229960948)",POINT (-73.95845229960948 40.81793874690458),2017,FALSE,/,/,FALSE,
35518366,Signs of Rodents,Vacant Building,10027,701 W 135TH ST,995969,238720,40.8218991,-73.957659,"(40.82189908685083, -73.95765856705992)",POINT (-73.95765856705992 40.82189908685083),2017,TRUE,VB,VACANT,FALSE,"Used to be bars, lounges, restaurants"
/,311related,311related,/,327 WEST 112 STREET,/,/,/,/,/,/,/,TRUE,NEW BUILDING,NEW BUILDING,FALSE,
/,311related,311related,/,325 WEST 112 STREET,/,/,/,/,/,/,/,TRUE,NEW BUILDING,NEW BUILDING,FALSE,
/,311related,311related,/,323 WEST 112 STREET,/,/,/,/,/,/,/,TRUE,NEW BUILDING,NEW BUILDING,FALSE,
/,311related,311related,/,321 WEST 112 STREET,/,/,/,/,/,/,/,TRUE,NEW BUILDING,NEW BUILDING,FALSE,
/,311related,311related,/,319 WEST 112 STREET,/,/,/,/,/,/,/,TRUE,NEW BUILDING,NEW BUILDING,FALSE,
/,311related,311related,/,317 WEST 112 STREET,/,/,/,/,/,/,/,TRUE,NEW BUILDING,NEW BUILDING,FALSE,
/,311related,311related,/,315 WEST 112 STREET,/,/,/,/,/,/,/,TRUE,NEW BUILDING,NEW BUILDING,FALSE,
/,311related,311related,/,310 WEST 113 STREET,/,/,/,/,/,/,/,TRUE,VB,CONST,FALSE,
/,311related,311related,/,303 WEST 113 STREET,/,/,/,/,/,/,/,TRUE,VL,VACANT,FALSE,RECYCLYING/TRASH
/,311related,311related,/,251 WEST 117 STREET,/,/,/,/,/,/,/,TRUE,VB,CONST,FALSE,
/,311related,311related,/,27 WEST 124 STREET,/,/,/,/,/,/,/,TRUE,VL,VACANT,FALSE,
/,311related,311related,/,75 WEST 124 STREET,/,/,/,/,/,/,/,TRUE,VL,VACANT,FALSE,
/,311related,311related,/,139 WEST 113 STREET,/,/,/,/,/,/,/,TRUE,VB,VACANT,FALSE,VACATE BY DOB
/,311related,311related,/,115 WEST 111 STREET,/,/,/,/,/,/,/,TRUE,VB,VACANT,FALSE,
/,311related,311related,/,131 WEST 119 STREET,/,/,/,/,/,/,/,TRUE,NEW BUILDING,NEW BUILDING,FALSE,
/,311related,311related,/,128 WEST 119 STREET,/,/,/,/,/,/,/,TRUE,VB,VACANT,FALSE,
/,311related,311related,/,188 MALCOLM X BLVD,/,/,/,/,/,/,/,TRUE,VB,VACANT,FALSE,
/,311related,311related,/,186 MALCOLM X BLVD,/,/,/,/,/,/,/,TRUE,VB,VACANT,FALSE,
/,311related,311related,/,11 WEST 119 STREET,/,/,/,/,/,/,/,TRUE,VB,VACANT,FALSE,
/,311related,311related,/,34 WEST 119 STREET,/,/,/,/,/,/,/,TRUE,VB,CONST,FALSE,
/,311related,311related,/,79 WEST 118 STREET,/,/,/,/,/,/,/,TRUE,VB,VACANT,FALSE,
/,311related,311related,/,81 WEST 118 STREET,/,/,/,/,/,/,/,TRUE,VB,VACANT,FALSE,
/,311related,311related,/,11 MT MORRIS PARK WEST,/,/,/,/,/,/,/,TRUE,VB,VACANT,FALSE,
/,311related,311related,/,32 WEST 120 STREET,/,/,/,/,/,/,/,TRUE,VB,VACANT,FALSE,
/,311related,311related,/,46 WEST 120 STREET,/,/,/,/,/,/,/,TRUE,VB,VACANT,FALSE,
/,311related,311related,/,202 WEST 121 STREET,/,/,/,/,/,/,/,TRUE,VL FOR SALE,VACANT,FALSE,
/,311related,311related,/,203 WEST 118 STREET,/,/,/,/,/,/,/,TRUE,VL,VACANT,FALSE, 203-207 WEST 118 ST
/,311related,311related,/,302 WEST 118 STREET,/,/,/,/,/,/,/,TRUE,VB,CONST,FALSE,
/,311related,311related,/,135 WEST 122 STREET,/,/,/,/,/,/,/,TRUE,VB,VACANT,FALSE,NYC HISTORIC PROPERTIES
/,311related,311related,/,137 WEST 122 STREET,/,/,/,/,/,/,/,TRUE,VB,VACANT,FALSE,NYC HISTORIC PROPERTIES
/,311related,311related,/,75 WEST 124 STREET,/,/,/,/,/,/,/,TRUE,VL,VACANT,FALSE,
/,311related,311related,/,2171 FREDERICK DOUGLASS BLVD,/,/,/,/,/,/,/,TRUE,VL,CONST,FALSE,
/,311related,311related,/,38 WEST 126 STREET,/,/,/,/,/,/,/,TRUE,VL FOR SALE,VACANT,FALSE,
/,311related,311related,/,73 WEST 127 STREET,/,/,/,/,/,/,/,TRUE,VL,GARDEN,FALSE,
/,311related,311related,/,75 WEST 127 STREET,/,/,/,/,/,/,/,TRUE,VL,GARDEN,FALSE,
/,311related,311related,/,77 WEST 127 STREET,/,/,/,/,/,/,/,TRUE,VL,GARDEN,FALSE,
/,311related,311related,/,307 WEST 123 STREET,/,/,/,/,/,/,/,TRUE,VL,VACANT,FALSE,
/,311related,311related,/,311 WEST 121 STREET,/,/,/,/,/,/,/,TRUE,VL,VACANT,FALSE,
/,311related,311related,/,313 WEST 121 STREET,/,/,/,/,/,/,/,TRUE,NEW BUILDING,NEW BUILDING,FALSE,
/,311related,311related,/,300 WEST 122 STREET,/,/,/,/,/,/,/,TRUE,VL,CONST,FALSE,
/,311related,311related,/,300 WEST 128 STREET,/,/,/,/,/,/,/,TRUE,NEW BUILDING,NEW BUILDING,FALSE,
/,311related,311related,/,305 WEST 128 STREET,/,/,/,/,/,/,/,TRUE,VL,VACANT,FALSE,
/,311related,311related,/,314 WEST 127 STREET,/,/,/,/,/,/,/,TRUE,VB,CONST,FALSE,NYC HOUSING
/,311related,311related,/,311 WEST 126 STREET,/,/,/,/,/,/,/,TRUE,VB,VACANT,FALSE,
/,311related,311related,/,267 WEST 126 STREET,/,/,/,/,/,/,/,TRUE,VL,VACANT,FALSE,NYC HOUSING
/,311related,311related,/,52 CONVENT AVENUE,/,/,/,/,/,/,/,TRUE,NEW BUILDING,NEW BUILDING,FALSE,
/,311related,311related,/,128 WEST 127 STREET,/,/,/,/,/,/,/,TRUE,VL,VACANT,FALSE,
/,311related,311related,/,3289 BROADWAY,/,/,/,/,/,/,/,TRUE,VB,VACANT,FALSE,
/,311related,311related,/,450 WEST 126 STREET,/,/,/,/,/,/,/,TRUE,VB,CONST,FALSE,
/,311related,311related,/,261 WEST 132 STREET,/,/,/,/,/,/,/,TRUE,NEW BUILDING,NEW BUILDING,FALSE,"JUST RENOVATED, BEEN EMPTY FOR A LONG TIME"
/,311related,311related,/,240 WEST 132 STREET,/,/,/,/,/,/,/,TRUE,VB,VACANT,FALSE,
/,311related,311related,/,105 WEST 131 STREET,/,/,/,/,/,/,/,TRUE,VB,VACANT,FALSE,COURT CASE
/,311related,311related,/,406 LENOX AVE ,/,/,/,/,/,/,/,TRUE,VB,CONST,FALSE,NYC HOUSING
/,311related,311related,/,422 LENOX AVE,/,/,/,/,/,/,/,TRUE,VB,COST,FALSE,NYC HOUSING
/,311related,311related,/,104 WEST 130 STREET,/,/,/,/,/,/,/,TRUE,VB,VACANT,FALSE,
/,311related,311related,/,112 WEST 130 STREET,/,/,/,/,/,/,/,TRUE,VL,VACANT,FALSE,
/,311related,311related,/,132 WEST 130 STREET,/,/,/,/,/,/,/,TRUE,VB,VACANT,FALSE,
/,311related,311related,/,142 WEST 129 STREET,/,/,/,/,/,/,/,TRUE,VL,VACANT,FALSE,
/,311related,311related,/,68 WEST 128 STREET,/,/,/,/,/,/,/,TRUE,VL,VACANT,FALSE,
/,311related,311related,/,109 WEST 126 STREET,/,/,/,/,/,/,/,TRUE,VL,VACANT,FALSE,
/,311related,311related,/,135 WEST 119 STREET,/,/,/,/,/,/,/,TRUE,VB,VACANT,FALSE,
/,311related,311related,/,145 CENTRAL PARK NORTH,/,/,/,/,/,/,/,TRUE,VL,CONST,FALSE,
/,311related,311related,/,282 WEST 127 STREET,/,/,/,/,/,/,/,TRUE,NEW BUILDING,NEW BUILDING,FALSE,
/,311related,311related,/,2153 Adam Clayton Powell Jr Blvd,/,/,/,/,/,/,/,TRUE,NEW BUILDING,NEW BUILDING,FALSE,